美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
諏訪神社（鹿児島市小山田町）,鹿児島県鹿児島市小山田町3456-ロ
塩釜神社（鹿児島市谷山塩屋町）,鹿児島県鹿児島市谷山塩屋町1054
立神神社,鹿児島県鹿児島市下福元町11448
月讀神社（鹿児島市）,鹿児島県鹿児島市桜島横山町1722-8
菅原神社（鹿児島市吉野町）,鹿児島県鹿児島市吉野町9678
日枝神社（鹿児島市鴨池）,鹿児島県鹿児島市鴨池1-8-23
菖蒲神社,鹿児島県鹿児島市吉野町4234
荒田八幡宮,鹿児島県鹿児島市下荒田2-7-21
花尾神社,鹿児島県鹿児島市本城町882・883
春日神社（鹿児島市春日町）,鹿児島県鹿児島市春日町4-38
一之宮神社,鹿児島県鹿児島市郡元2-4-27
霧島神社（鹿児島市西俣町）,鹿児島県鹿児島市西俣町1365
鎮守神社（鹿児島市五ケ別府町）,鹿児島県鹿児島市五ケ別府町2437
鶴嶺神社,鹿児島県鹿児島市吉野町9698-2
塩竃神社（鹿児島市）,鹿児島県鹿児島市新屋敷町32-13
大山積神社（鹿児島市）,鹿児島県鹿児島市下福元町7956
七社神社（鹿児島市吉野町）,鹿児島県鹿児島市吉野町7131
黒丸神社,鹿児島県鹿児島市山田町856
日枝神社（鹿児島市坂元町）,鹿児島県鹿児島市坂元町2501
大山祇神社（鹿児島市下福元町）,鹿児島県鹿児島市下福元町11356
三船神社（鹿児島市）,鹿児島県鹿児島市吉野町9996
神明神社（鹿児島市宇宿）,鹿児島県鹿児島市宇宿3-27-3
南方神社,鹿児島県鹿児島市上福元町6300
彦山神社,鹿児島県鹿児島市春山町456
平松神社,鹿児島県鹿児島市吉野町10691
建部神社（鹿児島市）,鹿児島県鹿児島市武3-26-5
谷山神社,鹿児島県鹿児島市下福元町3786-3
白山姫神社,鹿児島県鹿児島市吉野町1379
吉満神社,鹿児島県鹿児島市田上7-26-15
伊佐智佐神社,鹿児島県鹿児島市和田町1064-1
川上天満宮,鹿児島県鹿児島市川上町834
伊邇色神社,鹿児島県鹿児島市下伊敷2-9-30
近都宮神社,鹿児島県鹿児島市油須木町1152
菅原神社（鹿児島市郡山町）,鹿児島県鹿児島市郡山町6473
宮坂神社,鹿児島県鹿児島市喜入町8488
鹿児島神社,鹿児島県鹿児島市草牟田2-58-3
稲荷神社（鹿児島市稲荷町）,鹿児島県鹿児島市稲荷町252
烏帽子嶽神社,鹿児島県鹿児島市平川町4960
船魂神社,鹿児島県鹿児島市新屋敷町5-15
一之宮神社（鹿児島市東俣町）,鹿児島県鹿児島市東俣町74
松原神社,鹿児島県鹿児島市松原町3-35
波上宮,沖縄県那覇市若狭1-25-11
識名宮,沖縄県那覇市繁多川4-1-43
沖宮,沖縄県那覇市奥武山町４４
金武宮,沖縄県国頭郡金武町金武222
末吉宮,沖縄県那覇市首里末吉町1-8
安里八幡宮,沖縄県那覇市安里124
沖縄県護国神社,沖縄県那覇市奥武山町44
天久宮,沖縄県那覇市泊3-19-3
普天満宮,沖縄県宜野湾市普天間1-27-10
